00:01:45.603592 nspr-3   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:01:45.669972 nspr-8   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:02:09.633735 nspr-3   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:09.718559 nspr-3   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:02:10.188653 nspr-6   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:02:10.252597 nspr-6   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:02:10.269263 nspr-3   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:03:27.716161 nspr-5   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:03:27.867315 nspr-5   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:03:27.947481 nspr-4   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:03:34.791044 nspr-3   ERROR [COM]: aRC=VBOX_E_IPRT_ERROR (0x80bb0005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={Saved screenshot data is not available (VERR_NOT_SUPPORTED)}, preserve=false aResultDetail=-37
00:03:34.839296 nspr-4   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:03:34.957787 nspr-4   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:03:34.971752 nspr-7   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:03:53.158566 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Paused)}, preserve=false aResultDetail=0
00:03:56.792113 nspr-7   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:03:56.883897 nspr-7   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:03:56.927047 nspr-8   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Stopping)}, preserve=false aResultDetail=0
00:03:57.011912 nspr-8   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:03:57.073797 nspr-8   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:03:57.122287 nspr-2   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:03:58.079238 nspr-9   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:04:23.596692 nspr-7   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine.}, preserve=false aResultDetail=0
00:04:23.618802 nspr-9   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp2s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:04:23.632929 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp2s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:04:23.791598 nspr-5   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:04:24.608799 nspr-5   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:04:24.727161 nspr-5   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:05:12.967332 nspr-7   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:13.057763 nspr-7   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:13.080986 nspr-3   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:13.158461 nspr-3   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:13.189796 nspr-9   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:13.292791 nspr-9   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:13.375250 nspr-9   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:13.448980 nspr-9   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:13.558808 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:05:14.301307 nspr-8   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:05:14.383549 nspr-8   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:05:16.867674 nspr-9   Launched VM: 1543605808 pid: 42252 (0xa50c) frontend: GUI/Qt name: archcrat xfce
00:05:16.894668 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:05:17.164212 nspr-3   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:05:17.677580 nspr-4   Load [/usr/lib/virtualbox/ExtensionPacks/Oracle_VM_VirtualBox_Extension_Pack/linux.amd64/VBoxHostWebcam.so] vrc=VINF_SUCCESS
00:05:17.744246 nspr-5   ERROR [COM]: aRC=VBOX_E_IPRT_ERROR (0x80bb0005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={Saved screenshot data is not available (VERR_NOT_SUPPORTED)}, preserve=false aResultDetail=-37
00:05:17.771553 nspr-4   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp2s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:05:17.878920 nspr-3   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Starting)}, preserve=false aResultDetail=0
00:05:18.125086 nspr-7   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:05:18.126268 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:05:18.165451 nspr-2   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:05:18.405943 nspr-9   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:05:18.484930 nspr-9   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:05:18.619985 nspr-2   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:18.696927 nspr-2   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:18.760379 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:05:32.100946 nspr-2   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:05:32.187758 nspr-2   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:05:32.602264 nspr-9   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:32.666331 nspr-9   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:32.678549 nspr-7   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:05:50.522843 nspr-5   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:05:50.624626 nspr-5   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:05:50.636329 nspr-8   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:10:56.231122 dns-monitor HostDnsMonitor: updating information
00:10:56.231158 dns-monitor HostDnsMonitor: old information
00:10:56.231167 dns-monitor   server 1: 192.168.140.57
00:10:56.231173 dns-monitor   server 2: 2409:4055:2dcc:a8d::ef
00:10:56.231178 dns-monitor   no domain set
00:10:56.231181 dns-monitor   no search string entries
00:10:56.231185 dns-monitor HostDnsMonitor: new information
00:10:56.231188 dns-monitor   no server entries
00:10:56.231191 dns-monitor   no domain set
00:10:56.231194 dns-monitor   no search string entries
00:11:09.382993 dns-monitor NAT: resolv.conf: nameserver 49.45.0.5
00:11:09.383066 dns-monitor HostDnsMonitor: updating information
00:11:09.383077 dns-monitor HostDnsMonitor: old information
00:11:09.383087 dns-monitor   no server entries
00:11:09.383097 dns-monitor   no domain set
00:11:09.383106 dns-monitor   no search string entries
00:11:09.383115 dns-monitor HostDnsMonitor: new information
00:11:09.383123 dns-monitor   server 1: 49.45.0.5
00:11:09.383133 dns-monitor   no domain set
00:11:09.383142 dns-monitor   no search string entries
00:37:49.140081 nspr-9   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Paused)}, preserve=false aResultDetail=0
00:37:50.244648 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Stopping)}, preserve=false aResultDetail=0
00:37:50.345663 nspr-3   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:37:50.476365 nspr-3   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:37:50.524519 nspr-2   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:37:51.922698 nspr-9   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:37:58.553899 nspr-7   Launched VM: 1677824256 pid: 42940 (0xa7bc) frontend: GUI/Qt name: archcrat xfce
00:37:58.590588 nspr-4   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:37:59.029246 nspr-3   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:37:59.548699 nspr-9   Load [/usr/lib/virtualbox/ExtensionPacks/Oracle_VM_VirtualBox_Extension_Pack/linux.amd64/VBoxHostWebcam.so] vrc=VINF_SUCCESS
00:37:59.681169 nspr-3   ERROR [COM]: aRC=VBOX_E_IPRT_ERROR (0x80bb0005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={Saved screenshot data is not available (VERR_NOT_SUPPORTED)}, preserve=false aResultDetail=-37
00:37:59.723852 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp2s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:37:59.868812 nspr-4   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Starting)}, preserve=false aResultDetail=0
00:38:00.102595 nspr-5   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:38:00.104184 nspr-4   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:38:00.142642 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:38:00.403054 nspr-3   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
