2023-09-14 23:29:03.328 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-09-14 23:29:03.328 [info] Added views:workbench.panel.output in workbench.panel.output
2023-09-14 23:29:03.328 [info] Added views:terminal in terminal
2023-09-14 23:29:03.328 [info] Added views:outline in workbench.view.explorer
2023-09-14 23:29:03.328 [info] Added views:workbench.scm in workbench.view.scm
2023-09-14 23:29:03.328 [info] Added views:workbench.view.search in workbench.view.search
2023-09-14 23:29:03.328 [info] Added views:timeline in workbench.view.explorer
2023-09-14 23:29:03.328 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-09-14 23:29:03.537 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-09-14 23:29:08.035 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-09-14 23:29:08.048 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 23:29:08.049 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 23:29:21.595 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-09-14 23:29:21.630 [info] Added views:dartDependencyTree in workbench.view.explorer
2023-09-14 23:29:47.906 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-09-14 23:29:48.488 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 23:29:48.489 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 23:30:11.902 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-14 23:53:27.617 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 23:53:27.631 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-15 00:31:30.841 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-15 00:31:30.843 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-15 01:07:49.128 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-15 01:07:49.153 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-15 01:30:51.294 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-15 01:30:51.299 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-15 01:31:08.680 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-15 01:31:08.681 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-15 01:32:19.859 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-15 01:32:19.861 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-15 01:37:32.677 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-15 01:37:32.702 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-15 01:37:40.598 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-15 01:37:40.606 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-15 01:38:05.788 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-15 01:38:05.796 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-15 01:39:32.107 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-15 01:39:32.114 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-15 01:39:48.876 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-15 01:39:48.878 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-15 01:40:07.943 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-15 01:40:08.073 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-15 01:40:13.799 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-15 01:40:13.911 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
