2023-09-13 23:49:50.565 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-09-13 23:49:50.565 [info] Added views:workbench.panel.output in workbench.panel.output
2023-09-13 23:49:50.565 [info] Added views:terminal in terminal
2023-09-13 23:49:50.565 [info] Added views:outline in workbench.view.explorer
2023-09-13 23:49:50.565 [info] Added views:workbench.scm in workbench.view.scm
2023-09-13 23:49:50.565 [info] Added views:workbench.view.search in workbench.view.search
2023-09-13 23:49:50.565 [info] Added views:timeline in workbench.view.explorer
2023-09-13 23:49:50.565 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-09-13 23:49:51.639 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 23:49:52.220 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-09-13 23:49:56.161 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-09-13 23:49:56.211 [info] Added views:dartDependencyTree in workbench.view.explorer
2023-09-13 23:50:16.927 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-09-13 23:50:17.505 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-13 23:50:17.569 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 23:50:18.427 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 23:51:59.932 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 23:51:59.957 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 23:52:08.347 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-13 23:52:08.418 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 23:57:15.952 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 23:57:15.972 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 23:59:27.314 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 23:59:31.690 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-14 00:02:16.241 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 00:02:16.261 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 00:04:43.616 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 00:04:43.625 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 01:16:34.968 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 01:16:35.160 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 01:41:32.443 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 01:41:32.488 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 02:34:33.350 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 02:34:33.376 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 02:52:49.173 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 02:52:49.195 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 03:10:01.468 [info] Removed views:workbench.view.testing from workbench.view.extension.test
