2023-09-12 23:49:48.841 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-09-12 23:49:48.842 [info] Added views:workbench.panel.output in workbench.panel.output
2023-09-12 23:49:48.842 [info] Added views:terminal in terminal
2023-09-12 23:49:48.842 [info] Added views:outline in workbench.view.explorer
2023-09-12 23:49:48.842 [info] Added views:workbench.scm in workbench.view.scm
2023-09-12 23:49:48.842 [info] Added views:workbench.view.search in workbench.view.search
2023-09-12 23:49:48.842 [info] Added views:timeline in workbench.view.explorer
2023-09-12 23:49:48.842 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-09-12 23:49:49.671 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-09-12 23:49:51.602 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-09-12 23:49:51.606 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-12 23:49:51.607 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-12 23:49:52.772 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-09-12 23:49:52.919 [info] Added views:dartDependencyTree in workbench.view.explorer
2023-09-12 23:50:09.815 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-12 23:55:30.154 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-09-12 23:55:30.913 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-12 23:55:31.015 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 00:19:22.067 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 00:19:22.094 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 01:15:48.140 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 01:15:48.194 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 01:20:07.359 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-13 01:20:07.397 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 01:24:26.951 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 01:24:49.316 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 01:25:58.153 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 01:25:58.179 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 01:25:58.179 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-13 01:25:58.205 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 02:29:50.257 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 02:29:50.367 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 02:32:55.453 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 02:34:38.818 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 02:35:04.738 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 02:35:06.713 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 02:36:08.573 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 02:36:08.586 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 02:37:57.754 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 02:38:01.885 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 02:38:20.434 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-13 02:38:20.456 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 02:38:56.148 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 02:38:56.157 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 02:39:47.461 [info] Removed views:dartFlutterOutline from workbench.view.extension.flutter
2023-09-13 02:40:10.804 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-13 02:43:05.780 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-13 02:43:05.801 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-13 02:44:28.354 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-13 02:44:28.362 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-13 02:44:45.864 [info] Removed views:workbench.view.testing from workbench.view.extension.test
